Krizia Houston Buck - UCA Summer 2017 - Graduate Project - Dr. Emre Celebi 

Time Result(s) - Image, Clusters, Initialization, Presentation Style, Learning Rate, SSE, MSE, MAE: (in seconds) 
5, 8, 2, 1, 1, 2055165943752, 5226557, 1176.08697001 - 110.631000042 * Output5_K8_RI_LPS_LR1.PNG
5, 8, 2, 1, 2, 6354760820118, 16160992, 2040.62528483 - 115.504000187 * Output5_K8_RI_LPS_LR2.PNG
5, 8, 2, 1, 3, 12608822171773, 32065892, 2683.74471792 - 117.764999866 * Output5_K8_RI_LPS_LR3.PNG
5, 8, 2, 2, 1, 922712882240, 2346580, 775.553375244 - 137.907999992 * Output5_K8_RI_RPS_LR1.PNG
5, 8, 2, 2, 2, 1129451987764, 2872344, 854.390833537 - 141.667999983 * Output5_K8_RI_RPS_LR2.PNG
5, 8, 2, 2, 3, 695227379953, 1768054, 731.905647278 - 146.531000137 * Output5_K8_RI_RPS_LR3.PNG
5, 8, 3, 1, 1, 1349840913327, 3432822, 911.009539286 - 111.894999981 * Output5_K8_MCCI_LPS_LR1.PNG
5, 8, 3, 1, 2, 5346090335196, 13595810, 1843.81182353 - 116.453000069 * Output5_K8_MCCI_LPS_LR2.PNG
5, 8, 3, 1, 3, 11667484660212, 29671947, 2528.57125854 - 119.173999786 * Output5_K8_MCCI_LPS_LR3.PNG
5, 8, 3, 2, 1, 916310157868, 2330297, 727.227996826 - 140.457999945 * Output5_K8_MCCI_RPS_LR1.PNG
5, 8, 3, 2, 2, 761936597233, 1937704, 700.713844299 - 143.570000172 * Output5_K8_MCCI_RPS_LR2.PNG
5, 8, 3, 2, 3, 1065392923123, 2709434, 928.557853699 - 148.31099987 * Output5_K8_MCCI_RPS_LR3.PNG
5, 8, 4, 1, 1, 865058858329, 2199958, 704.06085968 - 112.211999893 * Output5_K8_MI_LPS_LR1.PNG
5, 8, 4, 1, 2, 4941227749533, 12566191, 1735.55914561 - 117.414000034 * Output5_K8_MI_LPS_LR2.PNG
5, 8, 4, 1, 3, 11667484660212, 29671947, 2528.57125854 - 119.94299984 * Output5_K8_MI_LPS_LR3.PNG
5, 8, 4, 2, 1, 512840687563, 1304221, 674.320854187 - 140.797999859 * Output5_K8_MI_RPS_LR1.PNG
5, 8, 4, 2, 2, 803348764554, 2043021, 700.578496297 - 143.868999958 * Output5_K8_MI_RPS_LR2.PNG
5, 8, 4, 2, 3, 1131918651552, 2878617, 1116.85857137 - 148.24000001 * Output5_K8_MI_RPS_LR3.PNG
5, 16, 2, 1, 1, 218872193736, 556620, 356.962310791 - 174.004999876 * Output5_K16_RI_LPS_LR1.PNG
5, 16, 2, 1, 2, 3565072614688, 9066448, 1255.78254191 - 178.946999788 * Output5_K16_RI_LPS_LR2.PNG
5, 16, 2, 1, 3, 8146210231837, 20716883, 2142.41730499 - 181.767999887 * Output5_K16_RI_LPS_LR3.PNG
5, 16, 2, 2, 1, 491378192885, 1249639, 663.245358785 - 201.852999926 * Output5_K16_RI_RPS_LR1.PNG
5, 16, 2, 2, 2, 460333996956, 1170689, 612.696675618 - 207.881000042 * Output5_K16_RI_RPS_LR2.PNG
5, 16, 2, 2, 3, 244761227537, 622459, 457.981361389 - 211.693000078 * Output5_K16_RI_RPS_LR3.PNG
5, 16, 3, 1, 1, 476931232630, 1212898, 411.070739746 - 174.660000086 * Output5_K16_MCCI_LPS_LR1.PNG
5, 16, 3, 1, 2, 3235263020744, 8227699, 1185.98496501 - 179.461000204 * Output5_K16_MCCI_LPS_LR2.PNG
5, 16, 3, 1, 3, 7234301077914, 18397779, 1912.01080831 - 183.546999931 * Output5_K16_MCCI_LPS_LR3.PNG
5, 16, 3, 2, 1, 256149921514, 651422, 396.486846924 - 203.40199995 * Output5_K16_MCCI_RPS_LR1.PNG
5, 16, 3, 2, 2, 160314001980, 407699, 305.290634155 - 206.654999971 * Output5_K16_MCCI_RPS_LR2.PNG
5, 16, 3, 2, 3, 309887119220, 788083, 505.158294678 - 212.503000021 * Output5_K16_MCCI_RPS_LR3.PNG
5, 16, 4, 1, 1, 134473653302, 341984, 325.079310099 - 178.526000023 * Output5_K16_MI_LPS_LR1.PNG
5, 16, 4, 1, 2, 2949290489086, 7500433, 1110.5886027 - 183.664000034 * Output5_K16_MI_LPS_LR2.PNG
5, 16, 4, 1, 3, 7234301077914, 18397779, 1912.01080831 - 184.817000151 * Output5_K16_MI_LPS_LR3.PNG
5, 16, 4, 2, 1, 152557143855, 387972, 342.949958801 - 203.690999985 * Output5_K16_MI_RPS_LR1.PNG
5, 16, 4, 2, 2, 145724515132, 370596, 328.969151815 - 207.303000212 * Output5_K16_MI_RPS_LR2.PNG
5, 16, 4, 2, 3, 267944557247, 681418, 507.714083354 - 212.167999983 * Output5_K16_MI_RPS_LR3.PNG
5, 32, 2, 1, 1, 85621974488, 217747, 221.571599325 - 308.632999897 * Output5_K32_RI_LPS_LR1.PNG
5, 32, 2, 1, 2, 2369108914602, 6024955, 999.044581095 - 309.203000069 * Output5_K32_RI_LPS_LR2.PNG
5, 32, 2, 1, 3, 2514356297638, 6394338, 1335.68503825 - 328.866000175 * Output5_K32_RI_LPS_LR3.PNG
5, 32, 2, 2, 1, 222053504115, 564711, 354.708188375 - 377.588000059 * Output5_K32_RI_RPS_LR1.PNG
5, 32, 2, 2, 2, 72888853537, 185365, 223.981870015 - 399.279999971 * Output5_K32_RI_RPS_LR2.PNG
5, 32, 2, 2, 3, 112060972865, 284985, 351.28872935 - 406.092999935 * Output5_K32_RI_RPS_LR3.PNG
5, 32, 3, 1, 1, 155533541833, 395542, 230.379615784 - 308.571000099 * Output5_K32_MCCI_LPS_LR1.PNG
5, 32, 3, 1, 2, 1184241263305, 3011681, 634.69471995 - 325.677000046 * Output5_K32_MCCI_LPS_LR2.PNG
5, 32, 3, 1, 3, 1666366354940, 4237788, 1072.11795044 - 326.76699996 * Output5_K32_MCCI_LPS_LR3.PNG
5, 32, 3, 2, 1, 105880830281, 269268, 210.536613464 - 371.308000088 * Output5_K32_MCCI_RPS_LR1.PNG
5, 32, 3, 2, 2, 75603178774, 192268, 178.564798991 - 380.286999941 * Output5_K32_MCCI_RPS_LR2.PNG
5, 32, 3, 2, 3, 55832902143, 141990, 197.530067444 - 390.049999952 * Output5_K32_MCCI_RPS_LR3.PNG
5, 32, 4, 1, 1, 40918454466, 104061, 162.891571045 - 322.57400012 * Output5_K32_MI_LPS_LR1.PNG
5, 32, 4, 1, 2, 1231234615503, 3131191, 639.664344788 - 318.414000034 * Output5_K32_MI_LPS_LR2.PNG
5, 32, 4, 1, 3, 1666366354940, 4237788, 1072.11795044 - 336.056999922 * Output5_K32_MI_LPS_LR3.PNG
5, 32, 4, 2, 1, 37865282129, 96296, 167.366650899 - 380.830000162 * Output5_K32_MI_RPS_LR1.PNG
5, 32, 4, 2, 2, 41870623559, 106482, 161.180051168 - 373.315999985 * Output5_K32_MI_RPS_LR2.PNG
5, 32, 4, 2, 3, 62638643181, 159298, 219.533561707 - 393.315000057 * Output5_K32_MI_RPS_LR3.PNG
5, 64, 2, 1, 1, 22787865216, 57952, 121.491251628 - 608.592000008 * Output5_K64_RI_LPS_LR1.PNG
5, 64, 2, 1, 2, 740939150824, 1884305, 447.80027771 - 627.390000105 * Output5_K64_RI_LPS_LR2.PNG
5, 64, 2, 1, 3, 1782389683590, 4532851, 970.734568278 - 637.532000065 * Output5_K64_RI_LPS_LR3.PNG
5, 64, 2, 2, 1, 34714262721, 88282, 154.658627828 - 702.453999996 * Output5_K64_RI_RPS_LR1.PNG
5, 64, 2, 2, 2, 35495657274, 90270, 144.554275513 - 707.703000069 * Output5_K64_RI_RPS_LR2.PNG
5, 64, 2, 2, 3, 24781645926, 63022, 152.218292236 - 709.703000069 * Output5_K64_RI_RPS_LR3.PNG
5, 64, 3, 1, 1, 83067825875, 211252, 165.638791402 - 594.500999928 * Output5_K64_MCCI_LPS_LR1.PNG
